06.04.2021 11:05:19 Application started. Press Ctrl+C to shut down. 
06.04.2021 11:05:19 Hosting environment: Development 
06.04.2021 11:05:19 Content root path: C:\Users\Anuitex\Source\Repos\BookStore\Store.PresentationLayer 
06.04.2021 11:19:05 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:19:07 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:19:07 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:19:07 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:20 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:20 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:26 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:27 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:28 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:19:28 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:19:28 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:19:28 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:19:32 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:19:32 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:19:32 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:32 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:37 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:37 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:51 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:51 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:19:51 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:19:51 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:19:51 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:19:51 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:19:53 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:19:54 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:19:54 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:11 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:11 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:12 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:20:13 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:20:13 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:20:13 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:20:15 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:20:15 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:20:15 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:29 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:29 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:30 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:20:30 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:20:30 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:20:30 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:20:33 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:20:33 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:20:33 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:41 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:20:41 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:22:43 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:22:43 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:23:12 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:23:12 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:23:13 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/deleteprintingedition?id=5 
06.04.2021 11:23:14 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/deleteprintingedition?id=5 
06.04.2021 11:23:17 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:27:43 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:27:44 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:30:22 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:30:22 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:31:04 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:31:04 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:31:19 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:31:19 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:31:20 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:31:20 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=0 
06.04.2021 11:31:20 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:32:35 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:32:35 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:32:36 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:32:36 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:32:36 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
